Area Identifier,Area Name,House Prices: Reference Period = 2011; measure type = Lower Quartile,House Prices: Reference Period = 2011; measure type = Mean,House Prices: Reference Period = 2011; measure type = Median,House Prices: Reference Period = 2011; measure type = Upper Quartile,House Prices: Reference Period = 2012; measure type = Lower Quartile,House Prices: Reference Period = 2012; measure type = Mean,House Prices: Reference Period = 2012; measure type = Median,House Prices: Reference Period = 2012; measure type = Upper Quartile,House Prices: Reference Period = 2010; measure type = Lower Quartile,House Prices: Reference Period = 2010; measure type = Mean,House Prices: Reference Period = 2010; measure type = Median,House Prices: Reference Period = 2010; measure type = Upper Quartile,House Prices: Reference Period = 2009; measure type = Lower Quartile,House Prices: Reference Period = 2009; measure type = Mean,House Prices: Reference Period = 2009; measure type = Median,House Prices: Reference Period = 2009; measure type = Upper Quartile
http://statistics.gov.scot/id/statistical-geography/S01000073,S01000073,310000,372968,320000,420000,231000,320086,355000,384000,280000,312863,334115,355000,230505,287555,297055,325325
http://statistics.gov.scot/id/statistical-geography/S01000074,S01000074,50000,80000,80000,110000,96000,102000,102000,108000,80000,94167,87500,115000,0,0,0,0
http://statistics.gov.scot/id/statistical-geography/S01000075,S01000075,85000,148018,135000,171000,99000,158426,135750,163031,102500,150848,165000,171000,100000,138138,145778,150000
http://statistics.gov.scot/id/statistical-geography/S01000076,S01000076,265000,292429,273000,299000,270000,295333,298500,320000,294000,309889,310000,325778,240000,266319,267778,295000
http://statistics.gov.scot/id/statistical-geography/S01000077,S01000077,205000,313810,275000,395000,202000,249529,219339,301250,212789,346133,350000,370000,189000,294438,269655,360000
http://statistics.gov.scot/id/statistical-geography/S01000078,S01000078,57500,69454,69750,75000,70000,85408,80000,92000,74500,85655,84000,100000,75000,84350,83500,95000
http://statistics.gov.scot/id/statistical-geography/S01000079,S01000079,151000,221081,175000,245100,141000,241871,180000,232000,145000,184489,169550,227500,160500,173110,171000,192000
http://statistics.gov.scot/id/statistical-geography/S01000080,S01000080,100500,162912,125000,223750,110000,163388,138000,220000,102000,168475,148325,250000,103500,155040,129500,175000
http://statistics.gov.scot/id/statistical-geography/S01000081,S01000081,220000,298536,275000,390000,315000,389650,385412,500000,200000,294152,293750,380000,195000,283129,246000,335000
http://statistics.gov.scot/id/statistical-geography/S01000082,S01000082,66000,100055,86000,93100,76000,94389,92000,105000,77500,93484,90000,110000,78000,109923,97000,115000
http://statistics.gov.scot/id/statistical-geography/S01000083,S01000083,110000,188794,136750,250000,116500,275680,226500,440777,115000,216147,202000,330000,101611,206046,230000,280000
http://statistics.gov.scot/id/statistical-geography/S01000084,S01000084,75000,103623,85000,110222,64100,75754,72500,80000,75034,87753,85000,96250,79950,95048,84000,90110
http://statistics.gov.scot/id/statistical-geography/S01000085,S01000085,100000,119342,118000,135000,96288,123079,116357,147536,103000,124454,111087,150000,95000,109874,105000,125000
http://statistics.gov.scot/id/statistical-geography/S01000086,S01000086,118000,265353,160000,380000,125000,262081,169378,385000,120000,228862,147500,285000,119000,212688,152500,290000
http://statistics.gov.scot/id/statistical-geography/S01000087,S01000087,290000,362706,341061,439995,250000,360512,336000,425000,249995,336397,279995,420000,220000,299327,267500,331498
http://statistics.gov.scot/id/statistical-geography/S01000088,S01000088,145000,184077,175000,200000,143000,174452,180000,198000,132000,176396,193500,200000,132500,161867,175000,200000
http://statistics.gov.scot/id/statistical-geography/S01000089,S01000089,312000,395287,320000,435000,300000,342667,348000,380000,340000,473498,481481,500000,250000,314364,282000,305000
http://statistics.gov.scot/id/statistical-geography/S01000090,S01000090,132500,188492,151000,230000,130000,190309,146189,230000,128000,213680,152000,290065,110000,190898,141785,245000
http://statistics.gov.scot/id/statistical-geography/S01000091,S01000091,111500,146663,154500,179500,120000,157217,152000,181000,110389,134864,123750,158500,98000,140345,126188,173750
http://statistics.gov.scot/id/statistical-geography/S01000092,S01000092,110000,140528,121000,160000,108000,143978,134500,177000,99000,143048,130000,172500,96000,127316,126025,140750
http://statistics.gov.scot/id/statistical-geography/S01000093,S01000093,148000,172000,160000,185000,107000,143517,138750,161500,112335,151897,160000,185000,161028,205160,195000,235000
http://statistics.gov.scot/id/statistical-geography/S01000094,S01000094,140000,149839,158012,162500,115175,134666,141134,160000,134869,154197,155432,179345,130563,145094,151250,161750
http://statistics.gov.scot/id/statistical-geography/S01000095,S01000095,120000,193025,143330,266000,110000,174901,130000,200000,115000,138222,135000,166500,126837,187509,145000,235000
http://statistics.gov.scot/id/statistical-geography/S01000096,S01000096,109000,172714,126000,144000,115000,145200,118000,125000,106750,269625,220500,432500,90000,151025,97000,129150
http://statistics.gov.scot/id/statistical-geography/S01000097,S01000097,308000,450853,395000,850000,312500,422124,390000,525000,330000,437796,480000,660000,285000,439565,353000,540000
http://statistics.gov.scot/id/statistical-geography/S01000098,S01000098,121000,149250,136500,184500,121000,158240,142000,215000,93000,127349,120000,165000,107276,149725,135000,180000
http://statistics.gov.scot/id/statistical-geography/S01000099,S01000099,330000,382396,357698,465000,300000,454075,420000,532000,285000,425579,407183,520000,250000,319800,300000,300000
http://statistics.gov.scot/id/statistical-geography/S01000100,S01000100,125000,158305,146511,170000,136500,172788,152250,173750,120000,151312,146667,165000,120000,167225,151500,157000
http://statistics.gov.scot/id/statistical-geography/S01000101,S01000101,188750,339863,309439,507500,125000,244908,152500,225000,192500,353903,258500,547500,175000,263375,210000,318750
http://statistics.gov.scot/id/statistical-geography/S01000102,S01000102,75000,108097,105329,127000,83011,137030,122500,175000,119000,141474,140000,170000,78020,119861,120000,148400
http://statistics.gov.scot/id/statistical-geography/S01000103,S01000103,105000,139491,150000,160000,126400,193985,160000,219950,100000,160981,157288,189500,118200,179903,152500,193000
http://statistics.gov.scot/id/statistical-geography/S01000104,S01000104,445000,524760,650000,822500,265000,473145,368500,610000,330000,477608,459000,610250,355000,488051,442000,619500
http://statistics.gov.scot/id/statistical-geography/S01000105,S01000105,160000,179425,167500,200125,155000,209153,185000,241233,155000,251307,210000,270000,245000,286538,260000,270000
http://statistics.gov.scot/id/statistical-geography/S01000106,S01000106,340252,511726,560000,650000,298000,406372,381027,500000,326500,505417,520000,657500,435000,521469,585000,644375
http://statistics.gov.scot/id/statistical-geography/S01000107,S01000107,100000,119257,125000,135000,75000,114731,111250,125000,87050,125879,126000,136000,90500,106714,103839,125000
http://statistics.gov.scot/id/statistical-geography/S01000108,S01000108,114000,175595,178000,205000,85000,159770,146100,225000,105000,162153,140000,171362,95555,134893,109000,175000
http://statistics.gov.scot/id/statistical-geography/S01000109,S01000109,106000,129279,127000,150000,102000,162288,130000,185000,99500,136296,122322,149000,106777,137693,130000,168500
http://statistics.gov.scot/id/statistical-geography/S01000110,S01000110,201000,337125,282500,515000,155000,266368,285000,350000,230000,271591,300000,335000,145000,380189,360000,600000
http://statistics.gov.scot/id/statistical-geography/S01000111,S01000111,165000,209800,183750,263250,175500,293500,239750,316000,165200,264650,225000,307250,147000,228511,182000,275000
http://statistics.gov.scot/id/statistical-geography/S01000112,S01000112,78500,124408,122500,165000,108500,133399,125000,168000,96000,147614,121500,173750,102260,128706,123251,158000
http://statistics.gov.scot/id/statistical-geography/S01000113,S01000113,241000,383819,277000,447278,241000,292309,265000,273000,224250,285187,245000,298500,187500,277500,218500,407500
http://statistics.gov.scot/id/statistical-geography/S01000114,S01000114,105000,177611,178000,228000,100000,145833,137500,167000,108000,133354,136250,155125,143010,203693,235000,249995
http://statistics.gov.scot/id/statistical-geography/S01000115,S01000115,140000,141667,140000,145000,93000,106135,98677,108000,88500,110983,109250,133500,93250,117835,113626,132000
http://statistics.gov.scot/id/statistical-geography/S01000116,S01000116,100000,128785,116500,147500,106000,151885,124500,215000,100000,125291,113000,132000,97000,133305,120875,150000
